,date,state,Population,Per100kDeath,Per100kTests,Per100kDeathCumulative,Per100kTestsCumulative,Date,DateTime
5687,20200301,MI,9883640.0,0.0,0.0,0.0,0.09105956914658972,301,2020-03-01
5684,20200302,MI,9883640.0,0.0,0.09105956914658972,0.0,0.18211913829317944,302,2020-03-02
5681,20200303,MI,9883640.0,0.0,0.16188367848282617,0.0,0.34400281677600564,303,2020-03-03
5671,20200304,MI,9883640.0,0.0,0.18211913829317944,0.0,0.526121955069185,304,2020-03-04
5670,20200304,IL,12830632.0,0.0,0.0,0.0,0.9976125883744464,304,2020-03-04
5657,20200305,OH,11536504.0,0.0,0.0,0.0,0.06067696071530856,305,2020-03-05
5652,20200305,NE,1826341.0,0.0,0.0,0.0,0.9308228857590122,305,2020-03-05
5650,20200305,MI,9883640.0,0.0,0.28329643734494575,0.0,0.8094183924141309,305,2020-03-05
5648,20200305,IL,12830632.0,0.0,0.32734163056036525,0.0,1.3249542189348116,305,2020-03-05
5630,20200306,OH,11536504.0,0.0,0.008668137245044078,0.0,0.06934509796035263,306,2020-03-06
5624,20200306,NE,1826341.0,0.0,0.0,0.0,0.9308228857590122,306,2020-03-06
5622,20200306,MN,5303925.0,0.0,0.0,0.0,0.6975965912036841,306,2020-03-06
5621,20200306,MI,9883640.0,0.0,0.2630609775345925,0.0,1.0724793699487234,306,2020-03-06
5618,20200306,KS,2853118.0,0.0,0.0,0.0,0.14019749621291513,306,2020-03-06
5617,20200306,IN,6483802.0,0.0,0.0,0.0,0.015423049624279088,306,2020-03-06
5616,20200306,IL,12830632.0,0.0,0.11690772520013044,0.0,1.441861944134942,306,2020-03-06
5615,20200306,IA,3046355.0,0.0,0.0,0.0,3.545220435569722,306,2020-03-06
5590,20200307,OH,11536504.0,0.0,0.008668137245044078,0.0,0.07801323520539671,307,2020-03-07
5584,20200307,NE,1826341.0,0.0,0.05475428739758895,0.0,0.9855771731566011,307,2020-03-07
5579,20200307,MO,5988927.0,0.0,0.0,0.0,0.0,307,2020-03-07
5578,20200307,MN,5303925.0,0.0,0.24510150501751063,0.0,0.9426980962211947,307,2020-03-07
5577,20200307,MI,9883640.0,0.0,0.40470919620706547,0.0,1.4771885661557889,307,2020-03-07
5572,20200307,KS,2853118.0,0.0,0.24534561837260146,0.0,0.38554311458551666,307,2020-03-07
5571,20200307,IN,6483802.0,0.0,0.0,0.0,0.015423049624279088,307,2020-03-07
